ID,valor,marca,modelo,ano_produzido,categoria,combustivel,quilometragem,cambio,cor
0,13328,LEXUS,RX 450,2010,Jeep,Hybrid,186005.0,Automatic,Silver
1,16621,CHEVROLET,Equinox,2011,Jeep,Petrol,192000.0,Tiptronic,Black
2,8467,HONDA,FIT,2006,Hatchback,Petrol,200000.0,Variator,Black
3,3607,FORD,Escape,2011,Jeep,Hybrid,168966.0,Automatic,White
4,11726,HONDA,FIT,2014,Hatchback,Petrol,91901.0,Automatic,Silver
5,39493,HYUNDAI,Santa FE,2016,Jeep,Diesel,160931.0,Automatic,White
6,1803,TOYOTA,Prius,2010,Hatchback,Hybrid,258909.0,Automatic,White
7,549,HYUNDAI,Sonata,2013,Sedan,Petrol,216118.0,Automatic,Grey
8,1098,TOYOTA,Camry,2014,Sedan,Hybrid,398069.0,Automatic,Black
9,26657,LEXUS,RX 350,2007,Jeep,Petrol,128500.0,Automatic,Silver
10,941,MERCEDES-BENZ,E 350,2014,Sedan,Diesel,184467.0,Automatic,White
11,8781,FORD,Transit,1999,Microbus,CNG,0.0,Manual,Blue
12,3000,OPEL,Vectra,1997,Goods wagon,CNG,350000.0,Manual,White
13,1019,LEXUS,RX 450,2013,Jeep,Hybrid,138038.0,Automatic,White
14,59464,HYUNDAI,Santa FE,2016,Jeep,Diesel,76000.0,Automatic,White
15,549,TOYOTA,CHR,2018,Jeep,Petrol,74146.0,Automatic,White
16,7683,HYUNDAI,Elantra,2016,Sedan,Petrol,121840.0,Automatic,Blue
17,28382,HYUNDAI,Elantra,2016,Sedan,Petrol,54317.0,Automatic,White
18,549,HYUNDAI,Sonata,2006,Sedan,Petrol,295059.0,Automatic,Blue
19,941,LEXUS,RX 400,2008,Jeep,Hybrid,364523.0,Automatic,Black
20,18826,HYUNDAI,Elantra,2012,Sedan,Petrol,112645.0,Automatic,Silver
21,20698,TOYOTA,Prius,2012,Sedan,Plug-in Hybrid,187000.0,Automatic,White
22,17562,TOYOTA,Camry,2017,Sedan,Petrol,39709.0,Automatic,Black
23,7840,FORD,Transit,2001,Microbus,Diesel,230000.0,Manual,White
24,4704,OPEL,Vectra,1995,Sedan,Petrol,0.0,Automatic,Green
25,20385,MERCEDES-BENZ,E 220,2006,Sedan,Diesel,210000.0,Tiptronic,Black
26,549,LEXUS,GX 470,2008,Jeep,Petrol,0.0,Automatic,White
27,30,TOYOTA,Prius,2008,Sedan,Hybrid,169000.0,Automatic,White
28,14454,HYUNDAI,Elantra,2011,Sedan,Petrol,158787.0,Automatic,Silver
29,12074,TOYOTA,Highlander,2009,Jeep,Hybrid,420550.0,Automatic,Blue
30,15681,MERCEDES-BENZ,Vito,2007,Goods wagon,Diesel,180000.0,Manual,White
31,19444,PORSCHE,Cayenne,2014,Jeep,Diesel,175056.0,Automatic,White
32,6899,BMW,X5,2000,Jeep,CNG,200000.0,Automatic,Silver
33,125,TOYOTA,Highlander,2008,Sedan,Hybrid,287274.0,Automatic,White
34,24462,JEEP,Grand Cherokee,2007,Jeep,Diesel,250000.0,Tiptronic,Black
35,23235,HYUNDAI,Santa FE,2011,Jeep,Diesel,162000.0,Automatic,Grey
36,51746,TOYOTA,CHR Limited,2019,Jeep,Petrol,10200.0,Tiptronic,Red
37,7527,HONDA,FIT,2010,Hatchback,Hybrid,158000.0,Automatic,Black
38,19121,HYUNDAI,Elantra,2012,Sedan,Petrol,103490.0,Automatic,Silver
39,314,LEXUS,RX 450,2010,Jeep,Hybrid,382746.0,Automatic,Silver
40,24462,TOYOTA,Camry,2013,Sedan,Petrol,203200.0,Automatic,Blue
41,45734,HYUNDAI,H1,2016,Universal,Diesel,61057.0,Automatic,Black
42,20165,VOLKSWAGEN,Jetta,2016,Sedan,Petrol,11200.0,Tiptronic,Black
43,21326,HYUNDAI,Sonata,2014,Sedan,Hybrid,141000.0,Tiptronic,White
44,549,PORSCHE,Cayenne,2010,Jeep,Petrol,160259.0,Automatic,Silver
45,220,TOYOTA,Tacoma,2013,Jeep,Petrol,239342.0,Automatic,Silver
46,15681,TOYOTA,Prius C,2012,Hatchback,Hybrid,128000.0,Variator,Sky blue
47,55390,HYUNDAI,Santa FE,2017,Jeep,Diesel,100734.0,Automatic,Black
48,12544,TOYOTA,Aqua,2012,Hatchback,Hybrid,141500.0,Automatic,Black
49,17249,FORD,Escape Hybrid,2008,Jeep,Hybrid,147000.0,Variator,White
50,34889,HONDA,Civic,2016,Sedan,Petrol,87768.0,Automatic,Blue
51,862,AUDI,Q7,2015,Jeep,Petrol,264014.0,Automatic,Black
52,14583,RENAULT,Megane 1.5CDI,2008,Sedan,Diesel,132542.0,Manual,White
53,392,MERCEDES-BENZ,E 300,2017,Sedan,Petrol,1600.0,Automatic,Black
54,38500,AUDI,Q5,2014,Jeep,Petrol,87000.0,Tiptronic,White
55,8781,MERCEDES-BENZ,C 180,2001,Coupe,Petrol,260000.0,Manual,Blue
56,87112,MERCEDES-BENZ,GLA 250,2019,Jeep,Petrol,5323.0,Tiptronic,Grey
57,1411,NISSAN,Juke,2015,Jeep,Petrol,87112.0,Automatic,Black
58,392,BMW,535,2012,Sedan,Petrol,204318.0,Automatic,Black
59,23521,CHEVROLET,Cruze LT,2018,Sedan,Petrol,22000.0,Automatic,Red
60,16935,FORD,Fusion,2013,Sedan,Petrol,83000.0,Tiptronic,Silver
61,10349,TOYOTA,VOXY,2007,Minivan,Petrol,170000.0,Automatic,Black
62,7213,NISSAN,Juke,2013,Jeep,Petrol,312118.0,Automatic,Black
63,5331,MERCEDES-BENZ,A 160,2004,Sedan,Petrol,130000.0,Tiptronic,Black
64,20526,HYUNDAI,Tucson,2013,Jeep,Diesel,200279.0,Automatic,Grey
65,9722,HYUNDAI,Sonata,2015,Sedan,LPG,719847.0,Automatic,Orange
66,34657,HYUNDAI,H1,2014,Minivan,Diesel,154672.0,Automatic,Silver
67,36564,HYUNDAI,H1,2016,Minivan,Diesel,110969.0,Automatic,Black
68,314,TOYOTA,Camry,2013,Sedan,Hybrid,225510.0,Automatic,White
69,5488,TOYOTA,Vitz,2001,Hatchback,Petrol,210000.0,Manual,Sky blue
70,30063,HYUNDAI,H1,2015,Universal,Diesel,148105.0,Automatic,Silver
71,15800,CHEVROLET,Captiva,2011,Jeep,Diesel,255456.0,Automatic,Silver
72,43952,HYUNDAI,H1,2017,Universal,Diesel,111643.0,Automatic,Grey
73,53154,HYUNDAI,Santa FE,2016,Jeep,Diesel,84506.0,Automatic,Silver
